Id,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
nfl.p.7406,Matt,Cassel,QB,DET,SF,DET@SF,4:05PM EDT,20,-0.5," ",No
nfl.p.9265,Matthew,Stafford,QB,DET,SF,DET@SF,4:05PM EDT,35,12.0," ",No
nfl.p.24035,Golden,Tate,WR,DET,SF,DET@SF,4:05PM EDT,25,17.4," ",No
nfl.p.24318,LeGarrette,Blount,RB,DET,SF,DET@SF,4:05PM EDT,11,-0.3," ",No
nfl.p.25876,Marvin,Jones Jr.,WR,DET,SF,DET@SF,4:05PM EDT,21,7.4," ",No
nfl.p.26756,Levine,Toilolo,TE,DET,SF,DET@SF,4:05PM EDT,10,1.2," ",No
nfl.p.26781,Luke,Willson,TE,DET,SF,DET@SF,4:05PM EDT,10,0.0," ",No
nfl.p.26822,Theo,Riddick,RB,DET,SF,DET@SF,4:05PM EDT,15,6.0," ",No
nfl.p.27717,TJ,Jones,WR,DET,SF,DET@SF,4:05PM EDT,10,1.1," ",No
nfl.p.28442,Ameer,Abdullah,RB,DET,SF,DET@SF,4:05PM EDT,10,8.0,O,No
nfl.p.29001,Bradley,Marquez,WR,DET,SF,DET@SF,4:05PM EDT,10,0.0," ",No
nfl.p.29587,Hakeem,Valles,TE,DET,SF,DET@SF,4:05PM EDT,10,1.0,O,No
nfl.p.30209,Kenny,Golladay,WR,DET,SF,DET@SF,4:05PM EDT,12,14.9," ",No
nfl.p.30240,Michael,Roberts,TE,DET,SF,DET@SF,4:05PM EDT,10,1.1," ",No
nfl.p.8982,Pierre,Garcon,WR,SF,DET,DET@SF,4:05PM EDT,16,3.1," ",No
nfl.p.25291,Kyle,Nelson,TE,SF,DET,DET@SF,4:05PM EDT,10,0.0," ",No
nfl.p.26253,Garrett,Celek,TE,SF,DET,DET@SF,4:05PM EDT,10,0.0," ",No
nfl.p.26701,Marquise,Goodwin,WR,SF,DET,DET@SF,4:05PM EDT,20,0.0,O,No
nfl.p.26753,Kyle,Juszczyk,RB,SF,DET,DET@SF,4:05PM EDT,10,6.1," ",No
nfl.p.27590,Jimmy,Garoppolo,QB,SF,DET,DET@SF,4:05PM EDT,29,12.0," ",No
nfl.p.28654,Raheem,Mostert,RB,SF,DET,DET@SF,4:05PM EDT,10,0.0," ",No
nfl.p.29783,Cole,Wick,TE,SF,DET,DET@SF,4:05PM EDT,10,0.0," ",No
nfl.p.30217,C.J.,Beathard,QB,SF,DET,DET@SF,4:05PM EDT,20,15.8," ",No
nfl.p.30259,George,Kittle,TE,SF,DET,DET@SF,4:05PM EDT,17,11.5," ",No
nfl.p.30290,Trent,Taylor,WR,SF,DET,DET@SF,4:05PM EDT,10,4.8," ",No
nfl.p.30551,Kendrick,Bourne,WR,SF,DET,DET@SF,4:05PM EDT,10,0.0," ",No
nfl.p.30552,Matt,Breida,RB,SF,DET,DET@SF,4:05PM EDT,18,5.6," ",No
nfl.t.8,Detroit,Lions,DEF,DET,SF,DET@SF,4:05PM EDT,18,8.0," ",No
nfl.t.25,San Francisco,49ers,DEF,SF,DET,DET@SF,4:05PM EDT,10,6.0," ",No
nfl.p.31013,Kerryon,Johnson,RB,DET,SF,DET@SF,4:05PM EDT,18,5.2," ",No
nfl.p.31014,Dante,Pettis,WR,SF,DET,DET@SF,4:05PM EDT,12,13.1," ",No
nfl.p.31210,Richie,James Jr.,WR,SF,DET,DET@SF,4:05PM EDT,10,0.0," ",No
nfl.p.31641,Brandon,Powell,WR,DET,SF,DET@SF,4:05PM EDT,10,0.0,O,No
nfl.p.25295,Nick,Bellore,RB,DET,SF,DET@SF,4:05PM EDT,10,0.9," ",No
nfl.p.25883,Alfred,Morris,RB,SF,DET,DET@SF,4:05PM EDT,15,1.8," ",No
nfl.p.28887,Zach,Zenner,RB,DET,SF,DET@SF,4:05PM EDT,10,1.2," ",No
nfl.p.31207,Nick,Bawden,RB,DET,SF,DET@SF,4:05PM EDT,10,0.0,IR,No
nfl.p.27624,Jerick,McKinnon,RB,SF,DET,DET@SF,4:05PM EDT,10,10.1,IR,No
nfl.p.29447,Aaron,Burbridge,WR,SF,DET,DET@SF,4:05PM EDT,10,0.0," ",No
nfl.p.6762,Larry,Fitzgerald,WR,ARI,LAR,ARI@LAR,4:05PM EDT,24,11.1," ",No
nfl.p.23976,Sam,Bradford,QB,ARI,LAR,ARI@LAR,4:05PM EDT,20,3.8," ",No
nfl.p.23996,Jermaine,Gresham,TE,ARI,LAR,ARI@LAR,4:05PM EDT,10,4.3,O,No
